Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaisOrigen,Ventas
2005,Abril,Volkswagen ,Vento,Automoviles,Subcompactos,Importado,India,0
2005,Abril,Volkswagen ,Virtus,Automoviles,Subcompactos,Importado,Brasil,0
2005,Abril,Volkswagen ,Volkswagen_Caddy,Camiones_ligeros,Pick_Ups,Importado,Polonia,0
2005,Abril,Volkswagen ,Vw_Van,Camiones_ligeros,Pick_Ups,Importado,Argentina,209
2005,Mayo,Volkswagen ,Amarok,Camiones_ligeros,Pick_Ups,Importado,Argentina,0
2005,Mayo,Volkswagen ,Beetle,Automoviles,Compactos,Nacional,Mexico,273
2005,Mayo,Volkswagen ,Beetle_Cabrio,Automoviles,Compactos,Nacional,Mexico,39
2005,Mayo,Volkswagen ,Bora,Automoviles,Compactos,Nacional,Mexico,1464
2005,Mayo,Volkswagen ,Bora_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Crafter,Camiones_ligeros,Pick_Ups,Importado,Alemania,0
2005,Mayo,Volkswagen ,Crossfox,Automoviles,Subcompactos,Importado,Brasil,0
2005,Mayo,Volkswagen ,Derby,Automoviles,Subcompactos,Importado,Argentina,953
2005,Mayo,Volkswagen ,EOS,Automoviles,De_Lujo,Importado,Alemania,0
2005,Mayo,Volkswagen ,Eurovan_Carga,Camiones_ligeros,SUVs,Importado,Alemania,256
2005,Mayo,Volkswagen ,Eurovan_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,109
2005,Mayo,Volkswagen ,Gol,Automoviles,Subcompactos,Importado,Brasil,0
2005,Mayo,Volkswagen ,Gol_Sedan,Automoviles,Subcompactos,Importado,Brasil,0
2005,Mayo,Volkswagen ,Golf,Automoviles,Compactos,Importado,Brasil,142
2005,Mayo,Volkswagen ,Golf,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Golf_Gti,Automoviles,Deportivos,Importado,Alemania,3
2005,Mayo,Volkswagen ,Golf_Variant,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Jetta,Automoviles,Compactos,Nacional,Mexico,0
